address,rest_coords
785FLUSHING AVENUE11206.0,POINT (-73.941152600126 40.700907598144)
12920LIBERTY AVE11419.0,POINT (-73.816060217244 40.689373345092)
103HAVEMEYER STREET11211.0,POINT (-73.956490218544 40.713235719259)
1465MYRTLE AVENUE11237.0,POINT (-73.917189810308 40.698930282627)
1412NOSTRAND AVENUE11226.0,POINT (-73.949718981438 40.652054656939)
2560STEINWAY ST11103.0,POINT (-73.912031936068 40.767540100239)
8544 AVENUE11232.0,POINT (-74.001254242387 40.657357618089)
395KINGSTON AVENUE11225.0,POINT (-73.942553743764 40.665451301641)
75BARCLAY STREET10007.0,POINT (-74.010684453338 40.713188580124)
83MAIDEN LANE10038.0,POINT (-74.007606873705 40.707435788554)
902CORTELYOU ROAD11218.0,POINT (-73.969632701351 40.638900440467)
11116QUEENS BLVD11375.0,POINT (-73.837141244419 40.718379083332)
261AVENUE X11223.0,POINT (-73.973230230262 40.590214339035)
40WASHINGTON SQUARE SOUTH10012.0,POINT (-73.99949486016 40.730972422856)
225LIBERTY STREET10280.0,POINT (-74.015672785414 40.711530166285)
370382ND ST11372.0,POINT (-73.884240259672 40.749419223252)
2678CONEY ISLAND AVENUE11235.0,POINT (-73.960670999471 40.591333331135)
5106VERNON BLVD11101.0,POINT (-73.954436151804 40.741824407336)
42WEST   42 STREET10036.0,POINT (-73.982321170752 40.754068239421)
6WATER STREET10004.0,POINT (-74.012201153494 40.702736344428)
1364541ST AVE11355.0,POINT (-73.829065012464 40.758671514653)
4410KISSENA BLVD11355.0,POINT (-73.822422498453 40.753556165)
1756FOREST AVENUE10303.0,POINT (-74.147456658364 40.624967597284)
13841JAMAICA AVE11435.0,POINT (-73.813903066393 40.702539311298)
949EAST  174 STREET10460.0,POINT (-73.885829659467 40.836728634671)
976MCDONALD AVENUE11230.0,POINT (-73.977036631135 40.630009068441)
14072 AVENUE10021.0,POINT (-73.957698707602 40.769723395391)
24314MERRICK BLVD11422.0,POINT (-73.730132759889 40.674038311625)
216HUMBOLDT ST11206.0,POINT (-73.941697615007 40.70863166294)
22018HILLSIDE AVE11427.0,POINT (-73.743310333224 40.730682474809)
3216 AVENUE10014.0,POINT (-74.001461297756 40.730988883252)
1217BEDFORD AVENUE11216.0,POINT (-73.953565221399 40.681680668247)
2327BROADWAY10024.0,POINT (-73.977368569373 40.787306363502)
1407MADISON AVENUE10029.0,POINT (-73.953469011711 40.788150037737)
28WEST    8 STREET10011.0,POINT (-73.99747784272 40.732715322026)
6102SPRINGFIELD BLVD11364.0,POINT (-73.756572357468 40.748802190328)
5613METROPOLITAN AVENUE11385.0,POINT (-73.906787310041 40.712942592678)
7559METROPOLITAN AVENUE11379.0,POINT (-73.875447921726 40.713124184437)
10813 AVENUE10065.0,POINT (-73.964499666104 40.76438165857)
